research_id,university,title,authors,publication_year,publication_date,abstract,research_field,tech_category,journal,doi,url,source
KFUPM_129478bf-335d-4168-8696-9d76f093c311,King Fahd University of Petroleum and Minerals,Design and Implementation of a Real-Time Color Recognition System for the Visually Impaired,Mohammed Samara; Mohamed Deriche; Jihad Al-Sadah; Yahya Osais,2023,,"There is a growing interest in developing Computer-Based Assistive Technology (CAT) systems able to help the Visually Impaired (VI) in their daily needs and integrate well within society. One aspect that has not been well addressed is helping the visually impaired is the identification of colors for daily activities. Color recognition and perception is very important in interacting with the society and the surrounding environment. This paper presents a proof-of-concept design of a real-time embedded system that can help the visually impaired recognize colors, interact, and take decisions based on their perception of colors. Our approach is based on conveying color information, from the full color space, using a unique set of synthesized sound signals. The hardware part of the system is a pen-like device, which can detect color and generate a language-independent auditory signal representing the HSV values of the identified color. Numerous experiments have been performed using the new system with both the visually impaired and some blindfolded (BLD) participants. The system was proven to be very efficient in relation to training time and leads to high accuracy in color detection, classification, and matching tests. These experiments confirmed that the developed sonification scheme is effective yet simple in achieving color perception for the visually impaired. The proof-of-concept achieves about 93 % recognition accuracy using off-the-shelf components, it is cheap to implement, robust, and requires a much shorter time for training when compared to existing systems.",,,Arabian Journal for Science and Engineering,10.1007/s13369-022-07506-w,https://pure.kfupm.edu.sa/en/publications/129478bf-335d-4168-8696-9d76f093c311,KFUPM Pure (OAI-PMH)
KFUPM_8744a760-d784-40ed-839c-0a3b5e4d6be3,King Fahd University of Petroleum and Minerals,Implementation of a new research indicator to QS ranking system,Ghassan Abdul-Majeed; Elameer Amer Saleem; Drai A. Smait; Sadiq H H. Abdulhussain; Sadiq M. Sait; Hasan S. Majdi; Haydar Abdulameer Marhoon; Waleed Khalid Al-Azzawi,2023,,"The QS world university rankings employ six indicators with different weights; namely: academic reputation (40%), Employer reputation (10%), research performance (20% which is basically normalized citations per faculty, Faculty/Student Ratio (20%), International Faculty Ratio (5%) and International Student Ratio (5%). In this ranking system, the research performance is calculated by dividing total normalized citations by the number of full time equivalent faculty. Recently, Abdul-Majeed et al. (2021 proposed a new equation for predicting the research performance of universities, using four variables (number of published papers, number of researchers, total citations, number of non-citesd papers). In the present study, we investigate the influence of using Abdul-Majeed et al. equation on the rank of the top 100 universities of QS ranking. Results have shown that replacing the QS research indicator with that suggested by Abdul-Majeed et al. results in an apparent change in the rank of the 100 universities. The rank of 92 universities has been changed through this new proposal. Furthermore, we modify the Abdul-Majeed et al. equation by including reviewing activity based on information extracted from Publons site. Detailed calculations reveal that most of the top 100 universities have low level of reviewing activity. This modification causes a significant variation (the change reaches 98%) in the rank of the top 100 universities.",,,Scientometrics,10.1007/s11192-022-04611-3,https://pure.kfupm.edu.sa/en/publications/8744a760-d784-40ed-839c-0a3b5e4d6be3,KFUPM Pure (OAI-PMH)
KFUPM_8fb8adb9-79a6-4bc6-a1a6-5ff2dc9ea46e,King Fahd University of Petroleum and Minerals,Resilience analysis of a PV/battery system of health care centres in Rohingya refugee camp,Tamal Chowdhury; Hemal Chowdhury; Kazi Sifatul Islam; Ayyoob Sharifi; Richard Corkish; Sadiq M. Sait,2023,2023-01-15,"Due to frequent natural disasters, it is required for the energy systems to be more resilient and affordable. Numerous investigations can be found in the publications that proposed renewable energy systems to deliver power to localities. Nevertheless, researchers have yet to explore the resiliency benefits of renewable energy systems in refugee camps. Therefore, in this study, we modelled the performance of a PV/battery system for hypothetical health care centres located in the Rohingya refugee camp, Bangladesh. A 24-h grid outage was assigned to the REopt software to observe the survival possibility of the system. An optimized mixed-integer linear programming model is used as it considers several practical parameters such as reducing total cost sufficiently robust to handle the simulated outages perfectly. The optimum system consists of a 643 kW PV and a 102 kW battery. The potential life cycle savings of the system are $27,212, and the system can successfully handle a 24-h duration outage. The system also reduces CO2 emissions by 69% in resilient mode compared to 44% in financial mode. Therefore, it can contribute to climate change mitigation.",SDG 7 - Affordable and Clean Energy; SDG 13 - Climate Action; SDG 11 - Sustainable Cities and Communities,,Energy,10.1016/j.energy.2022.125634,https://pure.kfupm.edu.sa/en/publications/8fb8adb9-79a6-4bc6-a1a6-5ff2dc9ea46e,KFUPM Pure (OAI-PMH)
KFUPM_7ec7b84d-7bc8-4cc9-90c8-2a2b8ed2fc62,King Fahd University of Petroleum and Minerals,On magnetohydrodynamics Powell–Eyring fluid with Cattaneo–Christov heat flux over a curved surface,Ambreen A. Khan; Iqra Saleem; R. Ellahi; Sadiq M. Sait; K. Vafai,2023,2023-07-30,"This study explores the effects of thermal and magnetohydrodynamics (MHD) on Powell–Eyring fluid with the Cattaneo–Christov heat flux over a curved surface. The mathematical framework regarding the physical problem turn out to a set of nonlinear partial differential equation. The set of governing equations are first reduced into nonlinear ordinary differential equations via appropriate transformations and then analytical solutions of resulting nonlinear differential equations have been obtained by optimal homotopy asymptotic method. The influence of involved parameters such as magnetic parameter, fluid parameter, thermal relaxation parameter, curvature parameter, relaxation parameter, Grashof number, material parameter and Prandtl number are discussed and analyzed in tabular as well as in pictorial form. Finally, a comparison with the existing literature is prepared and an excellent agreement is seen.",,,International Journal of Modern Physics B,10.1142/s0217979223501904,https://pure.kfupm.edu.sa/en/publications/7ec7b84d-7bc8-4cc9-90c8-2a2b8ed2fc62,KFUPM Pure (OAI-PMH)
KFUPM_e15edf70-810c-4a79-acb4-92bceb2807ae,King Fahd University of Petroleum and Minerals,Chaotic marine predators algorithm for global optimization of real-world engineering problems,Sumit Kumar; Betul Sultan Yildiz; Pranav Mehta; Natee Panagant; Sadiq M. Sait; Seyedali Mirjalili; Ali Riza Yildiz,2023,2023-02-15,"A novel metaheuristic called Chaotic Marine Predators Algorithm (CMPA) is proposed and investigated for the optimization of engineering problems. CMPA integrates the exploration merits of the recently proposed Marine Predators Algorithm (MPA) with the chaotic maps exploitation capabilities. Several chaotic maps were applied in the proposed CMPA to govern MPA parameters that eventually led to controlled exploration and exploitation of search. This study makes an initial attempt to explore and employ CMPA in decoding complex and challenging design and manufacturing problems. For performance evaluation of the proposed algorithm, CEC 2020 numerical problems having different dimensions and five widely adopted constrained design problems were solved. For all problems, both qualitative and qualitative results are examined and discussed. Moreover, two case studies of multi-pass turning were examined by the proposed CMPA algorithm to optimize the cutting operation with a minimum cost of production per unit objective. Furthermore, the suggested CMPA algorithm has been investigated for solving a real-world structural topology optimization problem. Statistical analysis is performed, and the results of CMPA are compared with twelve distinguished algorithms. Outcomes of the proposed variant algorithm on the benchmarks demonstrate its significantly improved performance relative to other optimizers including a variant of MPA and two state-of-the-art IEEE CEC competitions winners algorithms. Findings from the manufacturing process exhibit CMPA proficiency in solving arduous real-world design problems.","SDG 9 - Industry, Innovation, and Infrastructure",,Knowledge-Based Systems,10.1016/j.knosys.2022.110192,https://pure.kfupm.edu.sa/en/publications/e15edf70-810c-4a79-acb4-92bceb2807ae,KFUPM Pure (OAI-PMH)
KFUPM_c6a46948-a065-4a12-b951-9a9910a3e611,King Fahd University of Petroleum and Minerals,Advanced thermodynamics analysis for sustainable residential sector: a case study of Turkish residential sector,Monirul Islam Miskat; Salman Rahman; Quddus Tushar; Shishir Barai; Nazia Hossain; Fazleh Rabbi; Nadia Sultana Nisha; Sadiq Sait,2023,,"Energy sustainability plays a crucial role in the development of any country. With the booming economy of Turkey, it is necessary to ensure energy sustainability in every sector. The residential sector plays a vital role in energy consumption in Turkey and improving sustainability in this sector can foster Turkey’s development. This study introduced first-time sustainability indicators of Turkey’s residential sector to determine the energy and exergy analyses through a thermodynamics-derived approach based on the data from 2000 to 2017. Monte Carlo simulations have been performed for energy source variation. Possible distribution uncertainties show that natural gas (0.78–0.76), biofuels, and waste (0.39–0.43) are dominant parameters for energy and exergy. Improvement of biofuels and waste, renewable-based energy sources can be a feasible solution for fossil fuel replacement. In Turkey’s residential sector, energy efficiency varies from 27.51 to 35.65%, while exergy efficiency ranges from 25.85 to 34.06%. The sustainability index for Turkey ranges from 1.34 to 1.51. In Turkey, around 65.93 to 74.14% of fossil fuel has been depleted in the last 18 years, which leads to lesser exergetic sustainability. Inefficient cooking, heating appliances, and lighting devices lead to higher exergy loss. Therefore, this study demonstrates the exergy analysis and prediction of the upcoming consequences of this analysis. In the future, Turkey can use higher efficient devices, especially in heating, lighting, and mechanical energy-related appliances, and electricity can be used to attain higher exergetic efficiency. Performed analysis and uncertainties of parameters will assist policymakers in selecting suitable alternative strategies in Turkey’s residential sector for sustainable decision-making.",SDG 7 - Affordable and Clean Energy; SDG 17 - Partnerships for the Goals,,Environmental Science and Pollution Research,10.1007/s11356-022-24889-3,https://pure.kfupm.edu.sa/en/publications/c6a46948-a065-4a12-b951-9a9910a3e611,KFUPM Pure (OAI-PMH)
KFUPM_b1787889-5ff8-449f-9d00-529d6ecd56cb,King Fahd University of Petroleum and Minerals,A novel hybrid flow direction optimizer-dynamic oppositional based learning algorithm for solving complex constrained mechanical design problems,Betül S. Yildiz; Nantiwat Pholdee; Pranav Mehta; Sadiq M. Sait; Sumit Kumar; Sujin Bureerat; Ali Riza Yildiz,2023,,"In this present work, mechanical engineering optimization problems are solved by employing a novel optimizer (HFDO-DOBL) based on a physics-based flow direction optimizer (FDO) and dynamic oppositional-based learning. Five real-world engineering problems, viz. planetary gear train, hydrostatic thrust bearing, robot gripper, rolling bearing, and multiple disc clutch brake, are considered. The computational results obtained by HFDO-DOBL are compared with several newly proposed algorithms. The statistical analysis demonstrates the HFDO-DOBL dominance in finding optimal solutions relatively and competitiveness in solving constraint design optimization problems.",,,Materialpruefung/Materials Testing,10.1515/mt-2022-0183,https://pure.kfupm.edu.sa/en/publications/b1787889-5ff8-449f-9d00-529d6ecd56cb,KFUPM Pure (OAI-PMH)
KFUPM_33e491ce-0c15-490b-86dc-41459deac948,King Fahd University of Petroleum and Minerals,A Hierarchical Algorithm for In-city Parking Allocation Based on Open Street Map and AnyLogic Software,Mohammad A.R. Abdeen; Ibrahim A. Nemer; Tarek R. Sheltami; Mohamed H. Ahmed; Mustafa Elnainay,2023,,"Routing and parking problems are considered a real challenge in the populated cities. An intelligent routing and parking algorithm is needed to facilitate locating the most appropriate parking spots to vehicles in a way that efficiently utilizes parking resources, reduces the traffic congestion, and minimizes trip driving time. This work proposes a hierarchical optimal algorithm to solve the routing and parking problem (HOPRA) using multi-criteria decision concept and historical traffic data. The problem is divided into three parts: finding the preferred parking lot, identifying the parking entrance (in case there are multiple), and then selecting the preferred route to the destination point. The optimal parking lot is defined based on an objective function that depends on the availability rates of the parking lots. After finding the parking lot and the parking entrance, a multi-objective function is used to specify the preferred route to the selected parking lot. This function depends on the travel distance, the traffic rate of a specific route, and the driver’s preferences. We use the Open Street Maps from the AnyLogic software in the implementation stage. We compare HOPRA against the Shortest Route (SR) algorithm that was implemented also in AnyLogic with historical traffic data obtained from HERE technologies for a sample city (Al-Madinah City in Saudi Arabia). The results show that the HORPA algorithm outperforms the SR algorithm in balancing the traffic congestion on the roads and reducing the driving time of the trip.",SDG 11 - Sustainable Cities and Communities,,Arabian Journal for Science and Engineering,10.1007/s13369-022-07528-4,https://pure.kfupm.edu.sa/en/publications/33e491ce-0c15-490b-86dc-41459deac948,KFUPM Pure (OAI-PMH)
KFUPM_f8fe8e36-3018-41f0-8d89-cfac77573037,King Fahd University of Petroleum and Minerals,A novel generalized normal distribution optimizer with elite oppositional based learning for optimization of mechanical engineering problems,Pranav Mehta; Betül Sultan Ylldlz; Nantiwat Pholdee; Sumit Kumar; Ali Riza Yildiz; Sadiq M. Sait; Sujin Bureerat,2023,,"Optimization of engineering discipline problems are quite a challenging task as they carry design parameters and various constraints. Metaheuristic algorithms can able to handle those complex problems and realize the global optimum solution for engineering problems. In this article, a novel generalized normal distribution algorithm that is integrated with elite oppositional-based learning (HGNDO-EOBL) is studied and employed to optimize the design of the eight benchmark engineering functions. Moreover, the statistical results obtained from the HGNDO-EOBL are collated with the data obtained from the well-established algorithms such as whale optimizer, salp swarm optimizer, LFD optimizer, manta ray foraging optimization algorithm, hunger games search algorithm, reptile search algorithm, and INFO algorithm. For each of the cases, a comparison of the statistical results suggests that HGNDO-EOBL is superior in terms of realizing the prominent values of the fitness function compared to established algorithms. Accordingly, the HGNDO-EOBL can be adopted for a wide range of engineering optimization problems.",,,Materialpruefung/Materials Testing,10.1515/mt-2022-0259,https://pure.kfupm.edu.sa/en/publications/f8fe8e36-3018-41f0-8d89-cfac77573037,KFUPM Pure (OAI-PMH)
KFUPM_6e7d5336-f57b-4a4b-9497-d209a753989c,King Fahd University of Petroleum and Minerals,"Current Scenario of Solar Energy Applications in Bangladesh: Techno-Economic Perspective, Policy Implementation, and Possibility of the Integration of Artificial Intelligence",Monirul Islam Miskat; Protap Sarker; Hemal Chowdhury; Tamal Chowdhury; Md Salman Rahman; Nazia Hossain; Piyal Chowdhury; Sadiq M. Sait,2023,,"Bangladesh is blessed with abundant solar resources. Solar power is considered the most desirable energy source to mitigate the high energy demand of this densely populated country. Although various articles deal with solar energy applications in Bangladesh, no detailed review can be found in the literature. Therefore, in this study, we report on the current scenario of renewable energy in Bangladesh and the most significant potential of solar energy’s contribution among multiple renewable energy resources in mitigating energy demand. One main objective of this analysis was to outline the overall view of solar energy applications in Bangladesh to date, as well as the ongoing development of such projects. The technical and theoretical solar energy potential and the technologies available to harvest solar energy were also investigated. A detailed techno-economic design of solar power applications for the garment industry was also simulated to determine the potential of solar energy for this specific scenario. Additionally, renewable energy policies applied in Bangladesh to date are discussed comprehensively, with an emphasis on various ongoing projects undertaken by the government. Moreover, we elaborate global insight into solar power applications and compare Bangladesh’s current solar power scenario with that of other regions worldwide. Furthermore, the potential of artificial intelligence to accelerate solar energy enhancement is delineated comprehensively. Therefore, in this study, we determined the national scenarios of solar power implementation in Bangladesh and projected the most promising approaches for large-scale solar energy applications using artificial intelligence approaches.",SDG 7 - Affordable and Clean Energy; SDG 13 - Climate Action,,Energies,10.3390/en16031494,https://pure.kfupm.edu.sa/en/publications/6e7d5336-f57b-4a4b-9497-d209a753989c,KFUPM Pure (OAI-PMH)
