research_id,university,title,authors,publication_year,publication_date,abstract,research_field,tech_category,journal,doi,url,source,publication_period,title_length
PNU-2649,PNU,statistical study for covid-19 spread during the armed crisis faced by ukrainians,Yang Yuman; S. B. Goyal; Anand Singh Rajawat; Manoj Kumar; Achyut Shankar; Fatimah Alhayan; Shakila Basheer,2023,,,scientific,,Wireless Networks,10.1007/s11276-024-03770-w,https://doi.org/10.1007/s11276-024-03770-w,PNU Open Data,2023,81
PNU-2659,PNU,"synergized toxicity exhibited by indigenous entomopathogenic fungal strains, plant extracts and synthetic insecticides against fall armyworm spodoptera frugiperda (je smith) under laboratory and semi-field conditions",Kiran Kumar Patro; Allam Jaya Prakash; Jaya Prakash Sahoo; Sidheswar Routray; Abdullah Baihan; Nagwan Abdel Samee; Gaojian Huang,2023,,,scientific,,IEEE Journal of Biomedical and Health Informatics,10.1109/jbhi.2023.3336935,https://doi.org/10.1109/jbhi.2023.3336935,PNU Open Data,2023,216
PNU-2664,PNU,"synthesis and optimization of bi2o3-b2o3-cr2o3 glass system for structural, optical, and radiation shielding properties",Shakila Basheer; Ghadah Aldehim; Ala Saleh Alluhaidan; Sapiah Sakri,2023,,,scientific,,Alexandria Engineering Journal,10.1016/j.aej.2024.06.058,https://doi.org/10.1016/j.aej.2024.06.058,PNU Open Data,2023,119
PNU-2669,PNU,"systematic investigation of magneto-electronic, structural, thermoelectric and optical properties of nd2mgx4 (x = s, se) compounds",Muhammad Muzammul; Muhammad Assam; Yazeed Yasin Ghadi; Nisreen Innab; Masoud Alajmi; Tahani Jaser Alahmadi,2023,,,scientific,,IEEE Access,10.1109/access.2024.3420169,https://doi.org/10.1109/access.2024.3420169,PNU Open Data,2023,130
PNU-2670,PNU,tailoring electronic structure and charge transport in thiophene-based hole transport materials: an end-capping acceptor strategy for efficient perovskite solar cells,MS Sannidhan; Jason Elroy Martis; KN Pallavi; Vinayakumar Ravi; HL Gururaj; Tahani Jaser Alahmadi,2023,,,scientific,,Computers and Electrical Engineering,10.1016/j.compeleceng.2024.109427,https://doi.org/10.1016/j.compeleceng.2024.109427,PNU Open Data,2023,166
PNU-2671,PNU,tailoring of electrochemical properties on nd-doped ni3s2 electrode via doping strategy for supercapacitor application,Hoda A Abdelhafez,2023,2024-05-31,,scientific,,Journal of Applied Data Sciences,10.47738/jads.v5i2.219,https://doi.org/10.47738/jads.v5i2.219,PNU Open Data,2023,118
PNU-2672,PNU,"targeted synthesis of hollow titania microspheres with sustained release behaviors of 1,2-benzisothiazolin-3-one (bit) for good marine antifouling performance",Sayed Abdel-Khalek; Abeer D. Algarni; Ghada Amoudi; Salem Alkhalaf; Fahad Mohammed Alhomayani; Shankar Kathiresan,2023,,,scientific,,IEEE Transactions on Consumer Electronics,10.1109/tce.2024.3415626,https://doi.org/10.1109/tce.2024.3415626,PNU Open Data,2023,158
PNU-2677,PNU,the impact of cu-doping on ni0.5-co0.5fe2o4 @graphitic carbon nitride for the degradation of organic pollutants,Huong Ly Tong; Severin Rakic; Hazzaa M Al-Hazzaa; Saleh A Alqahtani,2023,2024-07-08,<jats:p/>,scientific,,Journal of Medical Internet Research,10.2196/62891,https://doi.org/10.2196/62891,PNU Open Data,2023,111
PNU-2678,PNU,the melatonin receptor agonist agomelatine protects against acute pancreatitis induced by cadmium by attenuating inflammation and oxidative stress and modulating nrf2/ho-1 pathway,Nabil A. Alhakamy; Samaa Abdullah; Shadab Md; Akhalakur Rahman Ansari; Subrat Kumar Bhattamisra; Ibrahim M. Ibrahim; Hadil Alahdal; Abeer A. Altamimi; Rasheed A. Shaik,2023,,,scientific,,Heliyon,10.1016/j.heliyon.2024.e34074,https://doi.org/10.1016/j.heliyon.2024.e34074,PNU Open Data,2023,179
PNU-2679,PNU,"the multifaceted effects of fluoranthene and polystyrene on the taxonomic composition and associated functional traits of marine meiofauna, by using single and mixture applications",Naman Sreen; Ebtesam Abdullah Alzeiby; Muhammad Zafar Yaqub; Amiya Kumar Mohapatra,2023,2025-07-29,,scientific,,Tourism Recreation Research,10.1080/02508281.2024.2379687,https://doi.org/10.1080/02508281.2024.2379687,PNU Open Data,2023,180
PNU-2688,PNU,towards development of high-performance perovskite solar cells based on pyrrole materials for hole transport layer by using computational approach,Sally M. A. El-Shafei; Atef A. Abd El-Rahman; Abdelaziz S. A. Abuelsaad; Areej A. Al-Khalaf; Gaber M. G. Shehab; Ayman M. Abdel-Aziz,2023,2024-08-08,,scientific,,Metabolic Brain Disease,10.1007/s11011-024-01391-y,https://doi.org/10.1007/s11011-024-01391-y,PNU Open Data,2023,146
