doi,university,research_id,title,publication_year
10.1109/tce.2025.3601605,KFUPM,KFUPM_5e85b131-4dfd-4747-883e-03a09d377055,EcoWeedNet: A Lightweight and Automated Weed Detection Method for Sustainable Next-Generation Agricultural Consumer Electronics,2025
10.1109/tce.2025.3601605,KSU,KSU_2025_2690,EcoWeedNet: A Lightweight and Automated Weed Detection Method for Sustainable Next-Generation Agricultural Consumer Electronics,2025
10.5194/hess-29-4983-2025,KAUST,10.5194/hess-29-4983-2025,Saudi Rainfall (SaRa): hourly 0.1° gridded rainfall (1979–present) for Saudi Arabia via machine learning fusion of satellite and model data,2025
10.5194/hess-29-4983-2025,KSU,KSU_2025_12076,Saudi Rainfall (SaRa): hourly 0.1° gridded rainfall (1979-present) for Saudi Arabia via machine learning fusion of satellite and model data,2025
